                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.0602,                0.79925,                   1.11,                0.80489,                0.66972,                0.73214,                0.44833,                 1.4547,                 1.1062,                 1.3931,             0.00043205,             0.00043205,             0.00043205
                     56,                 1.0367,                0.77371,                 1.0833,                0.80591,                0.64042,                0.71586,                0.42447,                 1.4627,                 1.1448,                 1.3915,             0.00042305,             0.00042305,             0.00042305
                     57,                 1.0492,                 0.7621,                 1.0835,                0.77131,                0.67264,                0.74004,                0.44328,                 1.4484,                 1.1101,                  1.385,             0.00041405,             0.00041405,             0.00041405
                     58,                 1.0358,                0.73371,                 1.0765,                0.81457,                0.66298,                0.73465,                0.44822,                 1.4542,                 1.0981,                 1.3662,             0.00040505,             0.00040505,             0.00040505
                     59,                 1.0466,                0.74174,                  1.079,                0.83871,                 0.6342,                0.72827,                0.43595,                 1.4734,                  1.119,                 1.3808,             0.00039605,             0.00039605,             0.00039605
                     60,                 1.0495,                0.75951,                 1.0929,                0.78318,                0.63624,                0.72229,                0.44003,                  1.462,                 1.1337,                 1.3759,             0.00038705,             0.00038705,             0.00038705
                     61,                0.98811,                0.72175,                 1.0638,                0.77681,                0.65579,                0.72306,                0.44104,                 1.4623,                 1.1044,                 1.3848,             0.00037805,             0.00037805,             0.00037805
                     62,                 1.0164,                0.72664,                  1.075,                0.77816,                0.69133,                0.73507,                0.44998,                 1.4471,                 1.0571,                 1.3865,             0.00036905,             0.00036905,             0.00036905
                     63,                 1.0464,                0.73067,                 1.0709,                0.77938,                0.65611,                0.74101,                 0.4533,                 1.4588,                 1.0552,                 1.3825,             0.00036005,             0.00036005,             0.00036005
                     64,                0.99834,                0.71217,                 1.0561,                0.79035,                0.68122,                0.73248,                0.43883,                 1.4997,                 1.1018,                 1.4095,             0.00035106,             0.00035106,             0.00035106
                     65,                  1.002,                0.69824,                 1.0668,                0.81567,                0.67921,                0.74584,                0.45261,                 1.4606,                 1.0901,                 1.3963,             0.00034206,             0.00034206,             0.00034206
                     66,                 0.9742,                0.69723,                 1.0492,                 0.7909,                0.66221,                0.72573,                0.43782,                 1.4883,                 1.1978,                 1.4107,             0.00033306,             0.00033306,             0.00033306
                     67,                 1.0059,                0.70459,                  1.071,                0.78774,                0.67694,                0.75139,                0.45568,                   1.46,                 1.0746,                 1.3874,             0.00032406,             0.00032406,             0.00032406
                     68,                0.99238,                0.70139,                 1.0616,                0.82974,                 0.6694,                0.74912,                0.43836,                 1.4525,                   1.07,                 1.3814,             0.00031506,             0.00031506,             0.00031506
                     69,                0.97454,                0.68993,                  1.066,                0.83859,                0.67172,                0.76313,                0.45222,                 1.4634,                 1.0437,                 1.3959,             0.00030606,             0.00030606,             0.00030606
                     70,                0.98607,                0.67877,                 1.0658,                0.85053,                0.65794,                0.74696,                0.45766,                 1.4516,                 1.0611,                 1.3815,             0.00029706,             0.00029706,             0.00029706
